detection_id,image,true_plate,camera_id,condition
DET_000004,junction_A_camera_01_trk11_f115_0007.jpg,Z48H9831N,junction_A_camera_01,daylight_clear
DET_000005,junction_A_camera_01_trk13_f320_0010.jpg,Z38H2592C,junction_A_camera_01,angled_perspective
DET_000014,junction_A_camera_01_trk79_f535_0014.jpg,WB41G9853,junction_A_camera_01,motion_blur_moderate
DET_000015,junction_A_camera_01_trk99_f610_0021.jpg,JH10DL8792,junction_A_camera_01,weather_overcast
DET_000019,junction_A_camera_01_trk128_f680_0028.jpg,WB39E2592,junction_A_camera_01,dirty_plate_distorted
DET_000021,junction_A_camera_01_trk139_f735_0032.jpg,WB37J2002,junction_A_camera_01,daylight_clear
DET_000026,junction_A_camera_01_trk165_f1050_0035.jpg,NO20A09880,junction_A_camera_01,angled_perspective
DET_000033,junction_A_camera_01_trk326_f1200_0047.jpg,WB01BJ1415,junction_A_camera_01,motion_blur_moderate
DET_000036,junction_A_camera_01_trk362_f1410_0049.jpg,O3708072,junction_A_camera_01,weather_overcast
DET_000040,junction_A_camera_01_trk372_f1510_0058.jpg,WB38AE2163,junction_A_camera_01,dirty_plate_distorted
DET_000045,junction_A_camera_01_trk405_f1680_0066.jpg,WB3767900,junction_A_camera_01,daylight_clear
DET_000047,junction_A_camera_01_trk408_f1665_0065.jpg,M7Z00,junction_A_camera_01,angled_perspective
DET_000048,junction_A_camera_01_trk415_f1590_0063.jpg,MB38AS6873,junction_A_camera_01,motion_blur_moderate
DET_000055,junction_A_camera_01_trk486_f1900_0070.jpg,WB68Z2270,junction_A_camera_01,weather_overcast
DET_000067,junction_A_camera_01_trk610_f2630_0071.jpg,MB37CO050,junction_A_camera_01,dirty_plate_distorted
DET_000076,junction_A_camera_01_trk648_f2645_0073.jpg,WB37C0050,junction_A_camera_01,daylight_clear
DET_000082,junction_A_camera_01_trk663_f2990_0076.jpg,37C322,junction_A_camera_01,angled_perspective
DET_000088,junction_A_camera_01_trk696_f3175_0083.jpg,MB40AR0595,junction_A_camera_01,motion_blur_moderate
DET_000093,junction_A_camera_01_trk714_f3395_0086.jpg,0000,junction_A_camera_01,weather_overcast
DET_000104,junction_A_camera_01_trk759_f3625_0089.jpg,EB3172,junction_A_camera_01,dirty_plate_distorted
DET_000106,junction_A_camera_01_trk771_f4265_0098.jpg,WB26BC7024,junction_A_camera_01,daylight_clear
DET_000110,junction_A_camera_01_trk796_f4095_0090.jpg,0043,junction_A_camera_01,angled_perspective
DET_000112,junction_A_camera_01_trk835_f4255_0096.jpg,WB26BC7024,junction_A_camera_01,motion_blur_moderate
DET_000119,junction_A_camera_01_trk920_f4645_0103.jpg,WB37H6396,junction_A_camera_01,weather_overcast
DET_000123,junction_A_camera_01_trk980_f4750_0105.jpg,VB301C5426,junction_A_camera_01,dirty_plate_distorted
DET_000127,junction_A_camera_01_trk1035_f4800_0111.jpg,MB38AZ4327,junction_A_camera_01,daylight_clear
DET_000129,junction_A_camera_01_trk1060_f5130_0133.jpg,WB38BB0401,junction_A_camera_01,angled_perspective
DET_000130,junction_A_camera_01_trk1061_f5060_0126.jpg,JH01CX6531,junction_A_camera_01,motion_blur_moderate
DET_000133,junction_A_camera_01_trk1122_f4990_0119.jpg,WB40AG2826,junction_A_camera_01,weather_overcast
DET_000136,junction_A_camera_01_trk1145_f5215_0143.jpg,WB38AP4847,junction_A_camera_01,dirty_plate_distorted
DET_000138,junction_A_camera_01_trk1160_f5110_0128.jpg,393880201,junction_A_camera_01,daylight_clear
DET_000140,junction_A_camera_01_trk1167_f5135_0135.jpg,WB37D2343,junction_A_camera_01,angled_perspective
DET_000143,junction_A_camera_01_trk1177_f5170_0137.jpg,WB308899,junction_A_camera_01,motion_blur_moderate
DET_000145,junction_A_camera_01_trk1192_f5425_0153.jpg,HB38AR3054,junction_A_camera_01,weather_overcast
DET_000148,junction_A_camera_01_trk1207_f5285_0146.jpg,JH10CV0157,junction_A_camera_01,dirty_plate_distorted
DET_000152,junction_A_camera_01_trk1231_f5480_0161.jpg,WB37D7087,junction_A_camera_01,daylight_clear
DET_000153,junction_A_camera_01_trk1233_f5560_0166.jpg,EZ301542,junction_A_camera_01,angled_perspective
DET_000154,junction_A_camera_01_trk1242_f5580_0170.jpg,KB39B1544,junction_A_camera_01,motion_blur_moderate
DET_000155,junction_A_camera_01_trk1243_f5595_0173.jpg,WB39B1544,junction_A_camera_01,weather_overcast
DET_000159,junction_A_camera_01_trk1263_f5620_0177.jpg,MB02AL2460,junction_A_camera_01,dirty_plate_distorted
DET_000160,junction_A_camera_01_trk1266_f5880_0185.jpg,JH10CS2095,junction_A_camera_01,daylight_clear
DET_000191,junction_A_camera_02_trk1456_f1265_0002.jpg,MB39E2592,junction_A_camera_02,angled_perspective
DET_000210,junction_A_camera_02_trk1555_f2240_0003.jpg,OO10J1419,junction_A_camera_02,motion_blur_moderate
DET_000224,junction_A_camera_02_trk1611_f2740_0010.jpg,WB37D8072,junction_A_camera_02,weather_overcast
DET_000225,junction_A_camera_02_trk1620_f2875_0013.jpg,MB38AE2163,junction_A_camera_02,dirty_plate_distorted
DET_000232,junction_A_camera_02_trk1669_f3050_0020.jpg,WB38AS6873,junction_A_camera_02,daylight_clear
DET_000240,junction_A_camera_02_trk1712_f3205_0021.jpg,WB37G7900,junction_A_camera_02,angled_perspective
DET_000243,junction_A_camera_02_trk1754_f3675_0025.jpg,WB68Z2270,junction_A_camera_02,motion_blur_moderate
DET_000260,junction_A_camera_02_trk1829_f5130_0031.jpg,MB37C0050,junction_A_camera_02,weather_overcast
DET_000266,junction_A_camera_02_trk1855_f5630_0033.jpg,FAP5ARR,junction_A_camera_02,dirty_plate_distorted
DET_000270,junction_A_camera_02_trk1876_f5830_0034.jpg,B37C94,junction_A_camera_02,daylight_clear
DET_000272,junction_A_camera_02_trk1887_f6185_0037.jpg,WB40AR0595,junction_A_camera_02,angled_perspective
DET_000276,junction_A_camera_02_trk1906_f6655_0039.jpg,WIME,junction_A_camera_02,motion_blur_moderate
DET_000287,junction_A_camera_02_trk1964_f8030_0042.jpg,VB37E0043,junction_A_camera_02,weather_overcast
DET_000322,junction_A_camera_02_trk2303_f9795_0043.jpg,CCCC000,junction_A_camera_02,dirty_plate_distorted
DET_000332,junction_A_camera_02_trk2355_f9910_0044.jpg,1220,junction_A_camera_02,daylight_clear
DET_000333,junction_A_camera_02_trk2359_f10055_0046.jpg,WB38BB0401,junction_A_camera_02,angled_perspective
DET_000336,junction_A_camera_02_trk2378_f10040_0045.jpg,GUU5UU0,junction_A_camera_02,motion_blur_moderate
DET_000337,junction_A_camera_02_trk2382_f10180_0049.jpg,WB38B88999,junction_A_camera_02,weather_overcast
DET_000341,junction_A_camera_02_trk2402_f10185_0050.jpg,WB38BB8999,junction_A_camera_02,dirty_plate_distorted
DET_000347,junction_A_camera_02_trk2445_f10420_0052.jpg,JH10CW0157,junction_A_camera_02,daylight_clear
DET_000351,junction_A_camera_02_trk2476_f10670_0053.jpg,MB38AR3054,junction_A_camera_02,angled_perspective
DET_000353,junction_A_camera_02_trk2485_f10755_0058.jpg,W33707087,junction_A_camera_02,motion_blur_moderate
DET_000365,junction_A_camera_02_trk2527_f10985_0061.jpg,B398544,junction_A_camera_02,weather_overcast
DET_000372,junction_A_camera_02_trk2584_f11580_0064.jpg,JH10CS2095,junction_A_camera_02,dirty_plate_distorted
DET_000374,junction_A_camera_02_trk2602_f11825_0066.jpg,JUGAY,junction_A_camera_02,daylight_clear
DET_000382,junction_B_camera_01_trk2630_f40_0005.jpg,WB37E1275,junction_B_camera_01,angled_perspective
DET_000391,junction_B_camera_01_trk2700_f670_0007.jpg,4387766,junction_B_camera_01,motion_blur_moderate
DET_000393,junction_B_camera_01_trk2715_f1180_0014.jpg,Z48H9831N,junction_B_camera_01,weather_overcast
DET_000399,junction_B_camera_01_trk2744_f1350_0016.jpg,Z38H2592C,junction_B_camera_01,dirty_plate_distorted
DET_000414,junction_B_camera_01_trk2908_f2265_0033.jpg,JH10DL8792,junction_B_camera_01,daylight_clear
DET_000415,junction_B_camera_01_trk2909_f2565_0055.jpg,887855,junction_B_camera_01,angled_perspective
DET_000416,junction_B_camera_01_trk2913_f2450_0045.jpg,WB39E2592,junction_B_camera_01,motion_blur_moderate
DET_000418,junction_B_camera_01_trk2921_f2165_0019.jpg,WB41G9853,junction_B_camera_01,weather_overcast
DET_000421,junction_B_camera_01_trk2945_f2550_0053.jpg,WB37J2002,junction_B_camera_01,dirty_plate_distorted
DET_000458,junction_B_camera_01_trk3173_f4310_0078.jpg,WB01BJ1415,junction_B_camera_01,daylight_clear
DET_000472,junction_B_camera_01_trk3233_f4570_0103.jpg,HB38AS6873,junction_B_camera_01,angled_perspective
DET_000474,junction_B_camera_01_trk3243_f4470_0091.jpg,WB38AE2163,junction_B_camera_01,motion_blur_moderate
DET_000476,junction_B_camera_01_trk3273_f4690_0109.jpg,WB37G7900,junction_B_camera_01,weather_overcast
DET_000480,junction_B_camera_01_trk3352_f4775_0112.jpg,WB37D6072,junction_B_camera_01,dirty_plate_distorted
DET_000484,junction_B_camera_01_trk3363_f4970_0122.jpg,WB68Z2270,junction_B_camera_01,daylight_clear
DET_000488,junction_B_camera_01_trk3379_f5355_0125.jpg,WB38BB5321,junction_B_camera_01,angled_perspective
DET_000504,junction_B_camera_01_trk3483_f6685_0136.jpg,WB37C0050,junction_B_camera_01,motion_blur_moderate
DET_000515,junction_B_camera_01_trk3521_f6580_0129.jpg,WB37D6938,junction_B_camera_01,weather_overcast
DET_000518,junction_B_camera_01_trk3532_f6740_0143.jpg,W837D6875,junction_B_camera_01,dirty_plate_distorted
DET_000529,junction_B_camera_01_trk3576_f7185_0148.jpg,WB37C9443,junction_B_camera_01,daylight_clear
DET_000535,junction_B_camera_01_trk3640_f7565_0156.jpg,WB40AR0595,junction_B_camera_01,angled_perspective
DET_000538,junction_B_camera_01_trk3648_f7165_0146.jpg,NB37C9443,junction_B_camera_01,motion_blur_moderate
DET_000551,junction_B_camera_01_trk3708_f7555_0154.jpg,3BAV5018,junction_B_camera_01,weather_overcast
DET_000552,junction_B_camera_01_trk3711_f7575_0160.jpg,WB38AV5018,junction_B_camera_01,dirty_plate_distorted
DET_000554,junction_B_camera_01_trk3720_f7730_0168.jpg,WB39G5738,junction_B_camera_01,daylight_clear
DET_000569,junction_B_camera_01_trk3786_f8440_0193.jpg,WILE,junction_B_camera_01,angled_perspective
DET_000570,junction_B_camera_01_trk3790_f8195_0172.jpg,WB02AU6493,junction_B_camera_01,motion_blur_moderate
DET_000572,junction_B_camera_01_trk3804_f8205_0174.jpg,WB02AU6493,junction_B_camera_01,weather_overcast
DET_000576,junction_B_camera_01_trk3813_f8285_0182.jpg,WB37H9483,junction_B_camera_01,dirty_plate_distorted
DET_000577,junction_B_camera_01_trk3815_f8435_0192.jpg,MB38AL8942,junction_B_camera_01,daylight_clear
DET_000582,junction_B_camera_01_trk3829_f8420_0188.jpg,8942,junction_B_camera_01,angled_perspective
DET_000598,junction_B_camera_01_trk3919_f9210_0205.jpg,WB38BD05753,junction_B_camera_01,motion_blur_moderate
DET_000607,junction_B_camera_01_trk3944_f9360_0214.jpg,WB26BC7024,junction_B_camera_01,weather_overcast
DET_000610,junction_B_camera_01_trk3955_f9260_0207.jpg,2000,junction_B_camera_01,dirty_plate_distorted
