sample_id,image_path,ground_truth_plate,camera_id,timestamp
DET_000004,evaluation/crops/DET_000004.jpg,Z48H9831N,junction_A_camera_01,3.87
DET_000005,evaluation/crops/DET_000005.jpg,Z38H2592C,junction_A_camera_01,10.77
DET_000014,evaluation/crops/DET_000014.jpg,WB41G9853,junction_A_camera_01,18.0
DET_000015,evaluation/crops/DET_000015.jpg,JH10DL8792,junction_A_camera_01,20.52
DET_000019,evaluation/crops/DET_000019.jpg,WB39E2592,junction_A_camera_01,22.88
DET_000021,evaluation/crops/DET_000021.jpg,WB37J2002,junction_A_camera_01,24.73
DET_000026,evaluation/crops/DET_000026.jpg,NO20A09880,junction_A_camera_01,35.33
DET_000033,evaluation/crops/DET_000033.jpg,WB01BJ1415,junction_A_camera_01,40.38
DET_000036,evaluation/crops/DET_000036.jpg,O3708072,junction_A_camera_01,47.44
DET_000040,evaluation/crops/DET_000040.jpg,WB38AE2163,junction_A_camera_01,50.81
DET_000045,evaluation/crops/DET_000045.jpg,WB3767900,junction_A_camera_01,56.53
DET_000047,evaluation/crops/DET_000047.jpg,M7Z00,junction_A_camera_01,56.02
DET_000048,evaluation/crops/DET_000048.jpg,MB38AS6873,junction_A_camera_01,53.5
DET_000055,evaluation/crops/DET_000055.jpg,WB68Z2270,junction_A_camera_01,63.93
DET_000067,evaluation/crops/DET_000067.jpg,MB37C0050,junction_A_camera_01,88.49
DET_000076,evaluation/crops/DET_000076.jpg,WB37C0050,junction_A_camera_01,89.0
DET_000082,evaluation/crops/DET_000082.jpg,37C322,junction_A_camera_01,100.61
DET_000088,evaluation/crops/DET_000088.jpg,MB40AR0595,junction_A_camera_01,106.83
DET_000093,evaluation/crops/DET_000093.jpg,0000,junction_A_camera_01,114.23
DET_000104,evaluation/crops/DET_000104.jpg,EB3172,junction_A_camera_01,121.97
DET_000106,evaluation/crops/DET_000106.jpg,WB26BC7024,junction_A_camera_01,143.51
DET_000110,evaluation/crops/DET_000110.jpg,0043,junction_A_camera_01,137.79
DET_000112,evaluation/crops/DET_000112.jpg,WB26BC7024,junction_A_camera_01,143.17
DET_000119,evaluation/crops/DET_000119.jpg,WB37H6396,junction_A_camera_01,156.29
DET_000123,evaluation/crops/DET_000123.jpg,VB301C5426,junction_A_camera_01,159.83
DET_000127,evaluation/crops/DET_000127.jpg,MB38AZ4327,junction_A_camera_01,161.51
DET_000129,evaluation/crops/DET_000129.jpg,WB38BB0401,junction_A_camera_01,172.61
DET_000130,evaluation/crops/DET_000130.jpg,JH01CX6531,junction_A_camera_01,170.26
DET_000133,evaluation/crops/DET_000133.jpg,WB40AG2826,junction_A_camera_01,167.9
DET_000136,evaluation/crops/DET_000136.jpg,WB38AP4847,junction_A_camera_01,175.47
DET_000138,evaluation/crops/DET_000138.jpg,393880201,junction_A_camera_01,171.94
DET_000140,evaluation/crops/DET_000140.jpg,WB37D2343,junction_A_camera_01,172.78
DET_000143,evaluation/crops/DET_000143.jpg,WB308899,junction_A_camera_01,173.96
DET_000145,evaluation/crops/DET_000145.jpg,HB38AR3054,junction_A_camera_01,182.54
DET_000148,evaluation/crops/DET_000148.jpg,JH10CV0157,junction_A_camera_01,177.83
DET_000152,evaluation/crops/DET_000152.jpg,WB37D7087,junction_A_camera_01,184.39
DET_000153,evaluation/crops/DET_000153.jpg,EZ301542,junction_A_camera_01,187.08
DET_000154,evaluation/crops/DET_000154.jpg,KB39B1544,junction_A_camera_01,187.75
DET_000155,evaluation/crops/DET_000155.jpg,WB39B1544,junction_A_camera_01,188.26
DET_000159,evaluation/crops/DET_000159.jpg,MB02AL2460,junction_A_camera_01,189.1
DET_000160,evaluation/crops/DET_000160.jpg,JH10CS2095,junction_A_camera_01,197.85
DET_000191,evaluation/crops/DET_000191.jpg,MB39E2592,junction_A_camera_02,21.51
DET_000210,evaluation/crops/DET_000210.jpg,OO10J1419,junction_A_camera_02,38.09
DET_000224,evaluation/crops/DET_000224.jpg,WB37D8072,junction_A_camera_02,46.59
DET_000225,evaluation/crops/DET_000225.jpg,MB38AE2163,junction_A_camera_02,48.88
DET_000232,evaluation/crops/DET_000232.jpg,WB38AS6873,junction_A_camera_02,51.86
DET_000240,evaluation/crops/DET_000240.jpg,WB37G7900,junction_A_camera_02,54.5
DET_000243,evaluation/crops/DET_000243.jpg,WB68Z2270,junction_A_camera_02,62.49
DET_000260,evaluation/crops/DET_000260.jpg,MB37C0050,junction_A_camera_02,87.23
DET_000266,evaluation/crops/DET_000266.jpg,FAP5ARR,junction_A_camera_02,95.73
DET_000270,evaluation/crops/DET_000270.jpg,B37C94,junction_A_camera_02,99.13
DET_000272,evaluation/crops/DET_000272.jpg,WB40AR0595,junction_A_camera_02,105.17
DET_000276,evaluation/crops/DET_000276.jpg,WIME,junction_A_camera_02,113.16
DET_000287,evaluation/crops/DET_000287.jpg,VB37E0043,junction_A_camera_02,136.54
DET_000322,evaluation/crops/DET_000322.jpg,CCCC000,junction_A_camera_02,166.55
DET_000332,evaluation/crops/DET_000332.jpg,1220,junction_A_camera_02,168.5
DET_000333,evaluation/crops/DET_000333.jpg,WB38BB0401,junction_A_camera_02,170.97
DET_000336,evaluation/crops/DET_000336.jpg,GUU5UU0,junction_A_camera_02,170.71
DET_000337,evaluation/crops/DET_000337.jpg,WB38B88999,junction_A_camera_02,173.09
DET_000341,evaluation/crops/DET_000341.jpg,WB38BB8999,junction_A_camera_02,173.18
DET_000347,evaluation/crops/DET_000347.jpg,JH10CW0157,junction_A_camera_02,177.17
DET_000351,evaluation/crops/DET_000351.jpg,MB38AR3054,junction_A_camera_02,181.43
DET_000353,evaluation/crops/DET_000353.jpg,W33707087,junction_A_camera_02,182.87
DET_000365,evaluation/crops/DET_000365.jpg,B398544,junction_A_camera_02,186.78
DET_000372,evaluation/crops/DET_000372.jpg,JH10CS2095,junction_A_camera_02,196.9
DET_000374,evaluation/crops/DET_000374.jpg,JUGAY,junction_A_camera_02,201.06
DET_000382,evaluation/crops/DET_000382.jpg,WB37E1275,junction_B_camera_01,0.67
DET_000391,evaluation/crops/DET_000391.jpg,4387766,junction_B_camera_01,11.16
DET_000393,evaluation/crops/DET_000393.jpg,Z48H9831N,junction_B_camera_01,19.66
DET_000399,evaluation/crops/DET_000399.jpg,Z38H2592C,junction_B_camera_01,22.49
DET_000414,evaluation/crops/DET_000414.jpg,JH10DL8792,junction_B_camera_01,37.74
DET_000415,evaluation/crops/DET_000415.jpg,887855,junction_B_camera_01,42.74
DET_000416,evaluation/crops/DET_000416.jpg,WB39E2592,junction_B_camera_01,40.82
DET_000418,evaluation/crops/DET_000418.jpg,WB41G9853,junction_B_camera_01,36.07
DET_000421,evaluation/crops/DET_000421.jpg,WB37J2002,junction_B_camera_01,42.49
